Ivanovich,"...Sorry, I shouldn't interrupt your wish. Please, take this."
Traveller: I wish I could get some leads from the Geo Archon.
Ivanovich,"Even for outsiders, the grandeur and solemnity of the proceedings and ceremony leave a deep impression."
Changshun,"Oh, you also want a little adepti luck too?"
Changshun,"Haha, seems you know a lot! Making a wish during this time is sure to get you the blessings of both the Adepti and Rex Lapis himself."
Changshun,"I've already made my wish, so you can take this."
Paimon: "Great, thanks!"
Traveller: I wish I could find my (sister/brother) soon...
Changshun,May your wealth multiply in the year ahead!
Paimon: "Great! Now that we're all done with the wishing, guess we can just wait here for things to get started."
Paimon: "Hmm, who knows how long that Ms. Ningguang: lady is gonna take."
Paimon: Whoa! Look at all the people...
Paimon: We gotta get up front! We can't see squat back here!
Ningguang: The hour is upon us.
Ningguang: Rex Lapis has been killed! Seal the exits!
Paimon: Wha... What's going on!?
Paimon: Did she just say Rex Lapis is...
Paimon: The Geo Archon... is... DEAD!?
Paimon: "Oh no, the Millelith! Looks like they're nabbing suspects who got too close."
Paimon: Paimon:'s freaking out. The killer is amongst us!
Paimon: Wait... we got close... are we suspects!?
Paimon: "Wait, where are you going?"
Traveller: (It was a god we faced off against when we arrived in this world too...)
Traveller: (We can't fall into their hands...)
Paimon: "Oh no... (Traveler), there's a whole bunch of soldiers out there too!"
Paimon: "Your identity... You may not be the killer, but we can't let them get you!"
Paimon: But... can we even get out of here safely?
Ivanovich,"I... I know nothing, I swear..."
Changshun,"The smoke, it's too thick. I can't see..."
Linlang,"I didn't do it! Please, have mercy!"
Jifang,"The smoke, it's too thick. I can't see..."
Fan Er'ye,"I... I know nothing, I swear..."
Millelith Guard,They're here!
Millelith Guard,Arrest them!
Millelith Guard,There's nowhere to run!
Childe:,Hey (buddy/girlie)— Hold still.
Childe:,Come with me.
Paimon: *Panting* Phew... Paimon:'s exhausted...
Traveller: I'm even more beat.
Traveller: Just what muscles does magical floating use exactly?
Paimon: So insensitive! You have no idea just how tiring floating arou— Wait!
Paimon: Just who are you exactly?
Childe:,Call me Childe:.
Paimon: "Childe:? What, so we're supposed to dote on you?"
Childe:,"Haha, no no, not at all. It's an alias of sorts."
Childe:,"In Mondstadt, I don't suppose you came across a ""Signora"" by any chance?"
Paimon: Signora... Childe:...
Paimon: You'reFatui! One of theHarbingers!
Childe:,"Oh, no. Don't worry, I'm not looking for a fight."
Childe:,"Signora gave you quite the bad impression huh? Tsk, that woman... Can't say I'm a fan either."
Childe:,"Right, let's forget all about her, shall we? I'm here to help you."
Traveller: Help?
Childe:,Yes. Help.
Traveller: I don't need help from the Fatui.
Childe:,"Come now, don't be like that."
Traveller: Go. Leave.
Childe:,"Sure, I may be one of the Harbingers, but hear me out."
Childe:,"I'm not a bad guy... Okay perhaps I'm kind of a bad guy, but I'm not here to give you any trouble."
Childe:,Would it be too much to ask for you to keep the sword sheathed?
Childe:,"Haha, I thank you for your knightly nobility, Traveler."
Childe:,"I heard of your deeds in Mondstadt, so I couldn't help but notice you during the proceedings back there."
Childe:,"And because I had my eye on you the whole time, I know it wasn't you. Someone else was clearly behind it."
Childe:,"But... regrettably, given I'm a Fatui envoy from Snezhnaya... there's no way I'd be trusted after something of this magnitude."
Childe:,The ruling Qixing of Liyue has always been overly suspicious of us.
Paimon: Well can you honestly blame them?
Childe:,Hahaha. Guess I shouldn't try to deny that.
Childe:,"Okay, sure. Maintaining a distance between strangers is probably a good idea. Either way, I'm already used to it at this stage."
Childe:,"But right now, if you want to clear yourselves of any suspicion — you need to get yourselves to Northland Bank."
Childe:,Staying here isn't an option. As the old Liyue saying goes :  "The walls have ears."
View Rex Lapis,Life has left the adeptus' great body...
View Rex Lapis,What went on out of view in that moment?
Millelith Soldier,"It's the culprit! The culprit... has returned to the scene of their crime! Don't let them get away! Send reinforcements, repeat, send reinforcements!"
Paimon: "Uh-oh, uh-oh, uh-oh..."
Paimon: Northland Bank...
Childe:,Correct. This bank was opened here in Liyue by Snezhnaya.
Childe:,"Though everyone knows Liyue is the most enterprising in Teyvat, Snezhnaya is not short of change either."
Paimon: "Yeah well, poorer nations don't seem the type to have diplomats that come around acting the way yours do towards the Knights of Favonius."
Childe:,Eh-hehehehe...
Childe:,"Here, let me give you this."
Paimon: This is a...
Childe:,"I'm not sure, exactly. Sometimes, all money can buy is ""things"" and not a name for oneself."
Childe:,All I know is that it's a sigil. A sigil to keep the "mighty and illuminated adepti" from bringing harm to you.
Paimon: Adepti?
Childe:,"If you head north from the harbor, then west from Guili Plains, you will eventually reach a stone forest known an Jueyun Karst."
Childe:,The people of Liyue believe it to be the abode of the adepti.
Traveller: They really believe that?
Traveller: Isn't it just a legend?
Childe:,"Legend or not, they believe it. As such, offerings to the adepti are made at its borders. Nobody dares venture in."
Childe:,But I have no need for believing — not when I know for a fact that the adepti truly exist.
Paimon: "Hate to admit it but your Fatui intel seems alright. But, why would we go looking for adepti anyway?"
Childe:,"Ha, oh my little friend. There are plenty of reasons mortals seek the blessings of adepti."
Childe:,"Money, health, love... But you... you will go for justice."
Paimon: Justice?
Childe:,The Qixing will already have dispatched the Millelith. They'll be seeking out the assassin from amongst the onlookers.
Childe:,But how could a mere mortal kill a god that can sweep aside entire armies? Rex Lapis never gave up his power as a god.
Childe:,This level of crude response is beyond what is called for. How suspicious...
Traveller: You think they're trying to hide the true culprit?
Childe:,Or... to hide something else. Hard to say.
Traveller: You think the Qixing did it and they're trying to pin it on someone else?
Childe:,"Your thinking is even more radical than my own, Honorary Knight."
Childe:,"Even now, the Northland Bank wouldn't be able to hold the Millelith off for long, but the adepti can clear you of any wrongdoing."
???,And who might we be? Those that dare enter Jueyun Karst?
Traveller:  I was sent here.
Traveller:  Please take a look at this.
???,A Sigil of Permission... Many a season has passed since one was last in the presence of such an item.
Moon Carver,"He before you is the mighty and illuminated adeptus, Moon Carver. Speak, traveler. What business have you here?"
Paimon: Actually...
Millelith Sergeant,It's the assassin! They dared to flee here to Jueyun Karst!
Millelith Soldier,"Sir, we've already stepped too far into Jueyun Karst ourselves..."
Millelith Sergeant,"We... Argh, there's no choice. Apprehending the assassin is top priority, we must press on!"
Moon Carver,...disturbing our borders.
Moon Carver,See them gone. One will not have interruption.
Millelith Sergeant,Who goes there?
Millelith Sergeant,Attack!
Millelith Sergeant,Take the target alive!
Millelith Sergeant,Take this!
Moon Carver,"We've digressed. State your purpose, traveler."
Paimon: Well...
Moon Carver,Preposterous...
Moon Carver,PREPOSTEROUS!!!
Moon Carver,The Liyue Qixing... utterly disappointing.
Moon Carver,How could someone possibly assassinate Rex Lapis during the Rite of Descension...
Moon Carver,And then place suspicion upon the attendees!?
Moon Carver,...
Moon Carver,"Traveler, of the unjust accusations placed upon you, one has become aware."
Moon Carver,"The mind knows its answer. Though one must consult with one's fellows, lest the mind be misguided."
Moon Carver,"Go. Take your Sigil of Permission, carry with you a message."
Traveller:  Who should I look for?
Traveller:  Where should I go?
Moon Carver,Mountain Shaper and Cloud Retainer: can be found here. Only fate will decide if you shall find them — only fate.
Moon Carver,"There exists a Conqueror of Demons, a Guardian Yaksha. Go to Wangshu Inn. There you shall seek him."
Paimon: "Oh, this seems to be Wangshu Inn."
Paimon: Compared to Jueyun Karst this place seems basic. Are we really gonna find an adeptus here?
Paimon: "Let's take a look. Paimon: reckons he'll be on the balcony. Heh, doubt we're going to find him in the kitchen."
Paimon: Oh? He's not here?
Xiao: "To the blind, everything may not be as it appears..."
Xiao: A Sigil of Permission? You came prepared.
Xiao: Though this only prevents me from hurting you myself. Doesn't stop you from getting hurt in other ways.
Paimon: Uhh... Paimon: doesn't get it...
Xiao: Too much contact with our world is breaking the rules.
Xiao: Oh. It's you two.
Paimon: We meet again! Hiya!
Xiao: Why do you insist on getting involved in the world of demons and adepti? You're breaking the rules too often.
Xiao: "Mortal souls are not as robust as those of adepti, nor can your blood carry this level of adeptal energy."
Xiao: It's for your own good. Leave. Now.
Paimon: "Wait a sec, we came here to..."
Paimon: Argh! Paimon:'s... peeved! All he does is think about himself!
Paimon: "Paimon: wants to give him an ugly nickname... but if you tick off an adeptus, the only thing you'll probably ever find in treasure chests is cabbages! Bleurgh!"
Paimon: Ugh... Guess we should go ask the boss lady of the inn about just how she manages to talk to adepti.
Traveller:  Tell me about that adeptus.
Verr Goldet,Oh? You've already met Xiao:?
Verr Goldet,Not bad. Not often he's in a good enough mood to agree to see people.
Paimon: That's his good mood?
Verr Goldet,"Oh yes, the adepti are very hard to come by. Many people go their whole lives praying to them, never once actually getting to see one."
Verr Goldet,"When the Geo Archon built Liyue, he borrowed power from the adepti."
Verr Goldet,But most of them only know how to protect Liyue by fighting.
Verr Goldet,"So for many millennia, it has instead been humans who have led Liyue, whilst the adepti have lived hidden away on the outskirts."
Paimon: "You really know a lot, huh boss lady."
Verr Goldet,"It's not ""boss lady,"" it's just boss..."
Verr Goldet,"Anyway, seen as you have the favor of the adepti, things should be a lot easier."
Verr Goldet,"Well... If you wanna know my opinion... If you keep Xiao: in a good mood, things should be okay."
Paimon: Good mood? Can't really imagine what a "good mood" looks like for that "Vigilant Yaksha."
Verr Goldet,"Haha! Will be interesting, won't it?"
Verr Goldet,"(Come to think of it, I've never seen him smile either...)"
Verr Goldet,"How 'bout this — you go see the chef for a bowl of Almond Tofu, and a plate of whatever it is you are best at making."
Verr Goldet,Almond Tofu is one of the few human foods Xiao: likes. The other dish is up to you.
Paimon: "Up to us, eh...? Traveler, what do you think you're the best at cooking?"
Traveller:  Satisfying Salad I guess?
Paimon: "Really hard to screw that one up, right?"
Traveller:  Perhaps a Maha Manjusaka Hot Pyro Slime?
Paimon: Wow! Never heard of that one! Paimon: wants to try it!
Paimon: "But, if we're gonna be cooking for an adeptus, perhaps the Satisfying Salad would be the safer choice..."
Smiley YanXiao: Can't you see I'm on a break kid? Scram.
Traveller: " Excuse me, we'd like an Almond To—"
Smiley YanXiao: Scram!
Paimon: "Whoa, this chef guy's service is about as good as that Wagner guy's back in Mondstadt."
Traveller: " It's for the boss, Goldet."
Smiley YanXiao: ....
Smiley YanXiao: "I see. If it's for the boss, then guess I don't have a choice now, do I?"
Smiley YanXiao: "But my heart's not really in it right now, not enough to make a dessert as painstaking as Almond Tofu."
Paimon: And why is that?
Smiley YanXiao: "A fencer's hand must be steady, so too must be the hand of a chef."
Smiley YanXiao: "But my hands, I'm.... they're not steady..."
Smiley YanXiao: "Because ahh, a traveler once told me that this inn... is haunted."
Smiley YanXiao: "And then, just now — just now! In the kitchen... I saw something... something not right."
Paimon: "(This chef looks so intimidating, but speak of ghosts and he becomes weak.)"
Smiley YanXiao: I keep thinking... even Wangshu Inn isn't safe. I—I can't keep a steady hand for something like Almond Tofu.
Paimon: "Alright Traveler. In the name of high-quality Almond Tofu, we need to go check this kitchen out."
Verr Goldet,Opportunities to meet an adeptus are rare and fleeting. Make the most of it.
Paimon: Doesn't seem to be anyth—
Paimon: ...
Paimon: ...
Paimon: @&%*!
Smiley YanXiao: What!? You saw it too! There really is a ghost!
Smiley YanXiao: What... How can I...
Paimon: "Okay, so he's useless now. What do we do?"
Paimon: Forget it. Let's just go see the boss lady again.
Verr Goldet,Hehe... Scared of something so insignificant. Hard to believe he was once a notorious bandit.
Paimon: "You don't seem that afraid of ghosts, boss lady."
Verr Goldet,"Gods and ghosts, I've seen it all before."
Paimon: "Come to think of it, others don't seem to know there's an adeptus here at the inn, except for the boss lady..."
Verr Goldet,Shh!
Verr Goldet,Say any more and you'll be divulging my little secret.
Verr Goldet,Right. Before you two be off. Go see to it that little ghost doesn't go scaring anybody else.
Verr Goldet,"Not that I'm ordering you around. It's like the adeptus said, mortal souls are not as robust as those of the adepti."
Verr Goldet,"So as to not be harmed when dealing with the adepti, you can start by practicing with that ghost."
Traveller:  Sounds good.
Paimon: But how should we persuade the ghost?
Traveller:  But how should we persuade the ghost?
Verr Goldet,There is a calligraphy painting in the inn known as the Witness Sigil. It's been in circulation for over a thousand years. Go take a look at it.
Verr Goldet,"Once you have, look for a place outside where you can see the exact same Witness Sigil formation."
Verr Goldet,Ghosts are just another form of life on earth. It's certainly possible to deal with them on their own terms.
Paimon: "Th—There she is! So scary... (Traveler), quick, you... you grab her."
Paimon: She's trying to get away!
Paimon: "We have to follow her. If it's as the boss lady said, she won't disappear like last time!"
Paimon: Argh! She doesn't know when to give up!
Paimon: "This old, decrepit Ruin Guard... Surely it's not... possessed!?"
Dusky Ming,"? Silly-churl, billy-churl ?..."
Paimon: Phew... Finally caught you. Paimon:'s pooped.
Dusky Ming,? Silly-billy hilichurl ?...
Paimon: "Haunting things isn't nice! Little girl, are you listening?"
Dusky Ming,"? Chilly-churl, frilly-churl ?..."
Paimon: Now listen here young lady!
Dusky Ming,...
Dusky Ming,Okay.
Dusky Ming,Dusky Ming won't tease the travelers at the inn anymore.
Dusky Ming,Next time Traveler can come play with Dusky Ming.
Dusky Ming,"If you don't come and play, Dusky Ming will come find you~"
Smiley YanXiao: Wh-What... You really got the ghost to promise to stop haunting the inn?
Smiley YanXiao: Wow... You really are something...
Smiley YanXiao: I am in your debt.
Smiley YanXiao: "Please wait a moment. I'll make you the smoothest, silkiest bowl of Almond Tofu."
Smiley YanXiao: "Haha, my hands are steadier than ever now that she's gone."
Smiley YanXiao: I haven't enjoyed something so much in a long time. That dish was pure perfection.
Xiao: ...You two again.
Paimon: Wait! Don't go disappearing again.
Xiao: What's this?
Paimon: "It's your favorite, Almond Tofu! As well as this distant traveler's best dish — a Satisfying Salad."
Paimon: Traveler! Quick! Tell him everything before he finishes eating!
Xiao: Rex Lapis... How could this be?
Xiao: "I... can't imagine it. Though times have changed, I've never imagined a Liyue without him."
Xiao: The ruling Qixing... Just what role have they played in this?
Xiao: ...
Xiao: "I will seek Moon Carver, Mountain Shaper, and Cloud Retainer:. It is time they too made their decisions."
Traveller:  Will the adepti take over his role in Liyue?
Traveller:  Will the adepti interrogate the Qixing?
Xiao: Adepti do not turn on their responsibilities.
Xiao: "I have my reasons to not want to be tainted by the mortal realm, but... responsibilities are responsibilities."
Xiao: Our god is the God of Contracts after all.
Paimon: Wait! Paimon: still has one last question.
Xiao: Hmm?
Paimon: That... Dusky Ming. She's...
Xiao: "When conquering demons, on occasion, you can come across spirits who have never hurt anyone, yet are also not yet able to be moved on."
Xiao: So I asked the innkeeper and the boss if they could keep her here for a time.
Paimon: "So really, Wangshu Inn was looking after her! Really keeping a wide range of business going, huh!"
Li Ding,"Have mercy, O mighty adeptus! I beg you... Show mercy upon me and my brother... Spare our lives!"
Traveller:  What's wrong?
Li Ding,Who are you? What's going on?
Paimon: We asked you first!
Li Ding,...Oh! You enjoy safe passage in Jueyun Karst... It can only mean one thing!
Li Ding,You must be adepti messengers! Sent here to rescue me and my brother!
Paimon: What is he talking about?
Li Ding,"...Oh, have mercy, mighty messengers of the illuminated adepti! I beg you to save us... My brother and I, we only came here because our family is poor, and we heard tell of treasures hidden in the amber of Mt. Hulao."
Li Ding,It was stupid of us... but all we wanted to do was find enough treasure to sell and support our family...
Li Ding,"We followedthe path up the mountain, but suddenly, the amber... it swallowed up my brother, Li Dang!"
Li Ding,"I ran away, and made it this far before it dawned on me. We were trespassers in the abode of the adepti, and this was our punishment…"
Li Ding,"I had no idea how to rescue my brother, so I just started praying for the adepti to have mercy, right here on the spot. And now, at long last, two messengers come to my aid..."
Paimon: "What? We're not adepti messengers... We just wanna find the adepti, like everyone else!"
Li Ding,"No no no, you must be messengers... You have to be!"
Li Ding,"I have no idea which amber trapped him... Please, you have to rescue him! I beg you, show me some adepti mercy!"
Traveller: " Oh, fine. I'll go have a look..."
Li Ding,"Thank you, thank you! O mighty messengers of the illuminated adepti, I promise that we will never be so foolish again..."
Traveller: " Of your transgressions, your predicament, and your repentance, one has become aware."
Li Ding,"Thanks be to the adeptus of Mt. Hulao, and to their messengers! Never will we be so foolish again..."
Paimon: "Whoa, check you out! When you speak like that, you actually make a pretty convincing adepti messenger."
Li Ding,"Please, help me rescue my brother. I don't know which amber it was that took him..."
Li Ding,All I know is that we kept tothe path the whole way up the mountain. So the amber won't be far from the path.
Li Ding,"O mighty messengers of the illuminated adepti, please rescue him, I beg of you..."
Paimon: "Paimon: was gonna ask him about where to find the adeptus, but... he seems pretty one-track-mind about rescuing his brother right now."
Paimon: "Hmm... So, he said that Li Dang got trapped in amber somewhere on Mt. Hulao, and that they were following the path the whole way up."
Paimon: "So, let's follow the path down from here, and make sure to be on the lookout for amber on the way."
Li Dang,*coughing*
Li Dang,Wh–What happened? ...Y–You rescued me? Thank you...
Li Dang,"Oh! And have you seen my brother? His name is Li Ding, we were climbing the mountain together."
Li Dang,I just hope he didn't get trapped in amber too...
Traveller:  He's the one who sent us looking for you.
Li Dang,Phew... so he's safe then...?
Traveller:  He's at the top of the mountain.
Li Dang,He made it to the top? That means he should be okay...
Li Dang,Thank you! I will head up to find my brother now.
Li Dang,Here's hoping I don't run into any more amber on the way...
Li Dang,*coughing*
Li Dang,Wh–What happened? ...Y–You rescued me? Thank you...
Li Dang,"Oh! And have you seen my brother? His name is Li Ding, we were climbing the mountain together."
Li Dang,"But then, I... Well, I don't know. Did I get swallowed up by the amber? I think I must have been knocked out..."
Li Dang,I just hope he didn't get trapped in amber too...
Traveller:  I wouldn't know...
Li Dang,"Alright then, I won't bother you anymore. Thanks again... I'm going to find my brother now."
Li Dang,I really hope he's okay...
Li Ding,"Thank you for rescuing my brother, O mighty messengers of the illuminated adepti."
Traveller:  Have you ever seen the adeptus here?
Li Ding,"What? No... I mean, like everyone else, we've heard that there's an adeptus living in Mt. Hulao."
Li Ding,But regular folks like us would never have the chance to meet them. No way.
Li Ding,"Unlike you guys... You're adepti messengers, so it's a whole different story."
Li Ding,"Anyway, we have trespassed in the realm of the adeptus for long enough. We should get going. Thank you, mighty adepti messengers..."
Li Dang,"Yes, thank you, messengers..."
Paimon: "...Boy, it'd be super helpful if we actually were adepti messengers."
Paimon: 'Cause it seems like this adeptus has got a real temper problem...
Paimon: "But it's not like we've done anything wrong, so... hopefully we'll be okay... hehe..."
Mountain Shaper,Who dares trespass on my mountain? Who is it that frees the thief from his incarceration?
Mountain Shaper,"Foolish mortal, come forth and receive your punishment at once!"
Li Ding,My brother told me everything... Thank you both so much for rescuing him!
Li Ding,"*sigh* Our family has nothing to live on... We heard tell of treasures hidden in the amber of Mt. Hulao, and with nowhere else to turn, we came looking for them."
Li Dang,We weren't thinking straight... We thought we could sneak up into the mountain and grab just enough treasure to sell and support our family with.
Li Dang,"As you can see, the adeptus punished us for our greed. The amber swallowed me up, and if you hadn't come to our rescue, who knows when I would've gotten out."
Li Ding,Luckily the adeptus was merciful. They sent you two as their messengers to save us...
Traveller:  ...Messengers?
Li Ding,"Yes! You two saved my brother, just as I was praying for the adeptus' forgiveness, right here on the top of the mountain."
Li Dang,"You are adepti messengers, no doubt about it."
Traveller: " Of your transgression, your predicament, and your repentance, one has become aware."
Paimon: "Whoa, your adepti messenger impression is really good. It's like this is the part you were born to play!"
Li Ding,"Thank you... yes, we are truly sorry, my brother and I have learned our lesson."
Li Ding,We are truly blessed to receive the mercy of the adeptus. We promise that we will change our ways and make an honest living from now one. Even if it means sweating it out down at the docks.
Li Ding,"Anyway, we have trespassed in the realm of the adeptus for long enough. We should get going. Thank you, mighty adepti messengers..."
Li Dang,"Yes, thank you, messengers..."
Mountain Shaper,"...You intrude upon the sanctity of Mt. Hulao, you destroy the amber of my mountain, and you free a thief whose freedom is not yours to give."
Mountain Shaper,The thieves' ignorance was an affront to the adepti... but your actions are an abomination of the highest order!
Paimon: Wait! We can explain...
Traveller: " Here, look at this..."
Mountain Shaper,...A Sigil of Permission? One was unaware that such things still exist in the mortal realm.
Traveller:  Moon Carver sent us...
Mountain Shaper,Moon Carver... trusted a mere mortal as his messenger?
Mountain Shaper,Is this... a Sigil of Permission? One is surprised to find that such things still exist in the mortal realm.
Mountain Shaper,"In the beginning, Rex Lapis cast them for the mortals with his own hand. Few were made then, and thousands of years on, fewer still remain..."
Mountain Shaper,"Speak. One shall listen to the matter which brings you here, then one shall verify the truth thereof."
Mountain Shaper,"You would be wise to speak the truth, for Liyue is not so far from here that one would be easily deceived."
Mountain Shaper,Rex Lapis... Assassinated?
Mountain Shaper,At the Rite of Descension!?
Mountain Shaper,"What mortal in Liyue– nay, in all the world, would conspire to commit such foul treason? Or perhaps the more pertinent question is, what power in this world could aspire to achieve it?"
Mountain Shaper,"Rex Lapis charged the adepti with the protection of Liyue, and we have always honored this duty. As the people have prospered, so have we gradually withdrawn into the mountains. Indeed, this was a gesture of good will towards humanity."
Mountain Shaper,"But now... Alas! Rex Lapis, gone..."
Mountain Shaper,"Traveler, of the matter you have relayed, one has become aware. One now knows why Moon Carver has sent for us."
Mountain Shaper,"Once one has dealt with certain matters here that require my attention, one shall convene with the other adepti."
Traveller:  Can someone explain the amber situation to me?
Paimon: "Paimon: can! Adepti always have magical powers in storybooks, seems it's true in real life too."
Paimon: "You know, like how grass is actually adepti hair, and rivers are actually adepti saliva... There must be something similar going on with the amber."
Traveller:  So is rain... adepti tears?
Traveller: " Amber must be crystallized adepti... ew, gross."
Mountain Shaper,"...Your nonsense knows no bounds. This amber is produced by a flower that one has planted here, called thekarst crawler."
Mountain Shaper,"The majority of the plant is hidden underground. When stepped on, it produces amber to trap the invader."
Mountain Shaper,"After taking up residence here, one planted many karst crawlers to ensure that the tranquility of the mountain would remain undisturbed. Over the years, they have helped to prevent many disturbances, but in the process they have also trapped many curious things..."
Paimon: "Oh, so the amber is... alive?"
Mountain Shaper,"Correct. Thus, one may not leave this place in its current state, for fear of the risk to innocent lives in one's absence."
Mountain Shaper,One will depart as soon as one has attended to this matter. One trusts that the manner of your departure will be swifter in nature.
Paimon: "Hey, who put this table here? They've even set it ready for dinner, there's a wine jug and everything..."
Paimon: "Ooh, they even have the guests' names carved into the seats! ""Here sits Retainer..."""
Paimon: "Here sitsGuizhong..." "Here sits Rex..."
Paimon: Maybe "Rex" is short for "Rex Lapis"? But Paimon: has no idea about "Guizhong."
Paimon: "As for ""Retainer,"" hmm... That's it! When Moon Carver was going through the names of his adepti buddies, he said there was one called ""Cloud Retainer:."""
Paimon: "So, this must be where Cloud Retainer: and the other adepti have their dinner parties!"
Paimon: "Hehe, how about we cook up some extra-special dishes for the adepti? We're sure to get Cloud Retainer:'s attention that way!"
Paimon: "But... What do adepti even eat, anyway? Paimon: has no idea..."
Paimon: "Hmm, people must make offerings here all the time. Guess all we can do is look around the area for any leftovers, maybe that'll give us some ideas."
Paimon: Do you think maybe it's at all possible that the adepti might like to try some... Sticky Honey Roast?
Paimon: Someone has definitely cooked here before. D'you think they were making an offering?
Paimon: "Looks like they didn't use all the ingredients. Let's see here... we got some Snapdragon, some Lotus Heads, some Tofu... Whatever they were cooking, it sounds complicated!"
Paimon: "Hey, look over there... They left some notes, too."
Paimon: "Yep, it's a doozy! Paimon:'s not surprised they had to write it all down, it's a lot to remember... We should read it carefully."
Paimon: "What would you call a dish that's made from Snapdragon, Lotus Heads, and Tofu? Hmm..."
Paimon: Whoa... The ground is covered in flour. *tsk* What a messy chef...
Paimon: "Hmm, seems there's meat in this pot, but Paimon: can't tell which kind."
Paimon: Do you think whoever cooked this made it as an offering to the adepti?
